,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
3349,000990,诚志股份,-0.535,14.86,15.09,15.22,14.84,14.94,7247204.0,0.86894,108447788.0,21.924,1.134,1861975.711634,1239361.285226
3350,000989,九 芝 堂,1.257,8.86,8.78,8.89,8.77,8.75,6237873.0,1.05926,55020624.0,23.316,1.932,770247.853096,521754.85217
3351,000988,华工科技,6.181,24.22,23.68,24.35,23.35,22.81,79396936.0,7.8988,1897890977.0,86.5,4.002,2435327.556354,2434538.650404
3352,000987,越秀金控,3.222,9.29,9.11,9.41,9.03,9.0,26144286.0,0.98018,241940352.0,21.706,1.501,2557429.936466,2477905.78623
3353,000985,大庆华科,2.405,14.9,14.67,14.94,14.54,14.55,2777800.0,2.14271,40978065.0,-745.0,3.308,193162.855,193162.855
3354,000983,西山煤电,2.43,5.48,5.42,5.51,5.36,5.35,44552468.0,1.41383,242039745.0,9.58,0.8160000000000001,1726857.6,1726856.31768
3355,000982,*ST 中绒,0.667,1.51,1.49,1.52,1.48,1.5,17285201.0,0.40558000000000005,25957889.0,-0.914,-1.558,643543.435003,643543.435003
3356,000981,ST银亿,2.649,1.55,1.52,1.58,1.51,1.51,17071293.0,0.6631400000000001,26465878.0,-11.071,0.47700000000000004,624338.43171,399018.918
3357,000980,众泰汽车,1.88,2.71,2.69,2.74,2.65,2.66,37250621.0,3.00281,100483670.0,6.949,0.327,549498.919048,336182.725944
3358,000978,桂林旅游,1.867,4.91,4.86,4.93,4.82,4.82,4445701.0,1.23473,21690522.0,22.018,1.11,176809.1,176786.231675
3359,000977,浪潮信息,0.789,44.73,47.28,47.66,43.88,44.38,61269427.0,4.75232,2796621617.0,87.569,6.726,5766824.960883,5766824.960883
3360,000976,华铁股份,4.239,5.41,5.32,5.48,5.23,5.19,37810405.0,2.3714,203851499.0,60.111,1.978,863262.228636,862589.726684
3361,000975,银泰黄金,0.872,15.04,14.72,15.12,14.59,14.91,41737137.0,3.37291,619182352.0,44.976,3.388,2982993.062688,1861083.987456
3362,000973,佛塑科技,0.175,5.71,5.8,5.82,5.65,5.7,53086858.0,5.48758,303721524.0,47.583,2.305,552398.630641,552385.381728
3363,000972,ST中基,2.736,3.38,3.28,3.45,3.28,3.29,8143645.0,1.05586,27369742.0,-6.145,5.65,260693.849702,260693.849702
3364,000971,*ST高升,1.747,2.33,2.33,2.4,2.32,2.29,9555100.0,1.20986,22494096.0,-1.094,1.323,245886.746525,184016.278588
3365,000970,中科三环,1.327,10.69,10.67,10.73,10.46,10.55,24361543.0,2.28704,258692931.0,45.88,2.513,1138698.8,1138698.8
3366,000969,安泰科技,1.404,7.22,7.19,7.29,7.15,7.12,15397145.0,1.53854,111100714.0,-34.041,1.691,740777.846034,722548.858624
3367,000968,蓝焰控股,2.529,8.92,8.8,8.94,8.73,8.7,5502026.0,0.70862,48685865.0,12.743,1.984,863012.37272,692586.409396
3368,000967,盈峰环境,2.425,7.18,7.09,7.28,7.0,7.01,36987160.0,1.8456000000000001,263961763.0,17.512,1.5030000000000001,2271078.620828,1438921.112636
3369,000966,长源电力,1.647,4.32,4.3,4.33,4.25,4.25,19844302.0,1.79054,85284934.0,22.942,1.205,478778.72256,478778.72256
3370,000965,天保基建,0.597,3.37,3.36,3.44,3.31,3.35,19680210.0,1.77326,66352133.0,37.444,0.735,374013.011615,374013.011615
3371,000963,华东医药,3.607,20.68,20.1,20.68,20.0,19.96,26978086.0,1.54179,549598563.0,13.342,3.103,3618606.145264,3618553.938604
3372,000962,东方钽业,2.388,7.29,7.18,7.34,7.13,7.12,10411225.0,2.36173,75614642.0,107.522,2.803,321366.997476,321365.84274
3373,000961,中南建设,-2.011,9.26,9.23,9.46,9.18,9.45,61470723.0,1.65435,572818846.0,15.663,1.751,3451792.787074,3440740.4687
3374,000960,锡业股份,1.543,9.87,9.8,9.94,9.7,9.72,33034294.0,1.9795600000000002,324737760.0,18.69,1.326,1647082.286073,1647074.735523
3375,000959,首钢股份,1.592,3.19,3.15,3.21,3.14,3.14,26627332.0,0.52653,84760885.0,7.02,0.623,1687315.2824,1613214.778461
3376,000958,东方能源,5.339,5.13,4.89,5.14,4.88,4.87,39144542.0,3.56172,196989207.0,39.462,2.003,2761693.70076,563804.545113
3377,000957,中通客车,2.644,8.54,8.41,8.65,8.33,8.32,19883881.0,3.35371,168664627.0,138.412,1.835,506339.961344,506330.369216
3378,000955,欣龙控股,-4.73,11.48,11.68,12.08,11.2,12.05,116961529.0,21.7563,1357767915.0,-56.832,10.294,618077.46,617162.9058
3379,000953,*ST河化,5.078,5.38,5.18,5.38,5.13,5.12,8523781.0,2.89866,44851288.0,-5.7780000000000005,-5.302,183059.948326,158203.977106
3380,000952,广济药业,0.469,10.71,10.73,10.85,10.59,10.66,7508982.0,2.9833600000000002,80509322.0,15.704,2.757,269576.604423,269565.605253
3381,000951,中国重汽,0.145,20.66,20.8,21.16,20.38,20.63,10549234.0,1.57239,218062872.0,15.304,2.106,1386452.9328,1386084.27576
3382,000950,重药控股,1.533,5.96,5.89,5.96,5.89,5.87,12377626.0,1.4257900000000001,73251108.0,14.9,1.282,1029998.078816,517401.368196
3383,000949,新乡化纤,0.0,4.33,4.34,4.41,4.21,4.33,52862421.0,4.20512,226971988.0,48.165,1.45,544565.069217,544322.374449
3384,000948,南天信息,10.0,12.87,11.98,12.87,11.8,11.7,30381623.0,9.48087,376786199.0,42.447,2.782,412596.574533,412421.592726
3385,000939,*ST凯迪,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,-0.861,5.526,412607.52687,319385.69523
3386,000938,紫光股份,2.723,46.77,47.71,48.86,45.87,45.53,30514228.0,1.49366,1445291673.0,40.043,3.462,9554709.694692,9554709.694692
3387,000937,冀中能源,1.198,3.38,3.36,3.4,3.34,3.34,31326393.0,1.0777700000000001,105684370.0,13.695,0.5710000000000001,1194338.8353,982430.746596
3388,000936,华西股份,-0.214,9.32,9.61,9.67,9.18,9.34,42438748.0,4.79351,399219968.0,25.889,1.6360000000000001,825764.010684,825134.213548
3389,000935,四川双马,-0.464,15.02,15.42,15.42,14.94,15.09,17149724.0,2.24638,259344423.0,16.505,2.836,1146687.380166,1146684.846292
3390,000933,神火股份,3.83,4.88,4.72,4.92,4.68,4.7,80243132.0,4.22228,387776062.0,37.538,1.087,927444.0,927428.506
3391,000932,华菱钢铁,1.865,4.37,4.34,4.44,4.3,4.29,92249144.0,2.1851,403408548.0,1.944,0.887,2678406.741207,1844896.164261
3392,000931,中 关 村,1.099,10.12,10.2,10.27,10.0,10.01,16236067.0,2.17586,164339875.0,81.811,4.545,762164.505784,755146.209884
3393,000930,中粮科技,2.905,7.44,7.29,7.52,7.23,7.23,34534080.0,4.25081,256180906.0,28.462,1.425,1388128.258272,604433.86956
3394,000929,兰州黄河,2.623,6.65,6.52,6.67,6.5,6.48,4430633.0,2.38521,29282209.0,-18.289,1.811,123534.39,123526.558295
3395,000928,中钢国际,-2.303,5.09,5.26,5.27,5.03,5.21,43740782.0,5.18182,223767473.0,14.506,1.365,639641.437478,429657.348243
3396,000927,一汽夏利,0.679,4.45,4.45,4.48,4.38,4.42,21409510.0,1.34215,94839593.0,190.171,-11.698,709852.4389,709851.0772
3397,000926,福星股份,1.748,5.82,5.68,5.85,5.64,5.72,25059971.0,2.64766,144770637.0,4.974,0.5,560153.159868,550860.804114
3398,000925,众合科技,2.577,8.36,8.4,8.54,8.29,8.15,22153220.0,4.88788,185734765.0,167.2,1.933,459436.258908,378898.074632
3399,000923,河钢资源,2.62,13.71,13.52,13.84,13.42,13.36,3998545.0,2.01947,54700446.0,66.715,1.303,894891.405531,271458.0
3400,000922,佳电股份,2.879,8.22,8.07,8.29,7.96,7.99,13548307.0,2.79172,110551347.0,14.449,1.9100000000000001,409901.296716,398918.999418
3401,000921,海信家电,4.99,10.94,10.49,11.0,10.41,10.42,35779277.0,3.96611,383795699.0,10.832,1.8,1490821.55478,986924.697488
3402,000920,南方汇通,0.784,6.43,6.4,6.47,6.37,6.38,5449935.0,1.29203,34980218.0,30.619,2.459,271346.0,271224.842725
3403,000919,金陵药业,1.319,7.68,7.63,7.7,7.61,7.58,6957752.0,1.3838300000000001,53364697.0,16.01,1.305,387072.0,386142.164736
3404,000918,嘉凯城,-0.392,5.08,5.05,5.19,5.0,5.1,19237912.0,1.06629,98078733.0,-5.839,3.038,916529.282,916529.282
3405,000917,电广传媒,0.434,6.95,7.03,7.1,6.92,6.92,37899864.0,2.92744,264843342.0,115.833,0.9420000000000001,985201.65491,899774.765945
3406,000915,山大华特,1.986,25.68,25.56,26.16,25.15,25.18,6066601.0,2.59887,155381032.0,46.691,3.578,601763.25348,599454.549576
3407,000913,钱江摩托,0.887,11.38,11.54,11.65,11.19,11.28,6816045.0,1.5028700000000002,77475428.0,81.286,1.846,516123.968,516123.968
3408,000912,泸天化,3.226,4.48,4.36,4.55,4.34,4.34,12631124.0,0.80556,56048470.0,12.673,1.416,702464.0,702464.0
3409,000911,*ST 南糖,5.022,7.32,7.32,7.32,7.07,6.97,6300259.0,1.9440400000000002,45919305.0,-1.7389999999999999,-4.74,237227.245884,237227.245884
3410,000910,大亚圣象,-0.842,14.14,14.15,14.36,13.93,14.26,7842583.0,1.43335,110794844.0,10.794,1.653,782888.673,773673.52895
3411,000909,数源科技,-0.568,8.75,8.96,9.06,8.74,8.8,9185173.0,2.94064,81124701.0,74.153,2.567,273308.406,273308.406
3412,000908,景峰医药,1.17,3.46,3.42,3.49,3.42,3.42,14278988.0,2.01606,49208177.0,16.298,1.307,304401.925446,245058.786594
3413,000906,浙商中拓,3.214,5.78,5.63,5.82,5.63,5.6,10156658.0,1.55095,58384377.0,14.821,1.657,389952.30955,378512.335296
3414,000905,厦门港务,0.729,6.91,6.91,6.98,6.83,6.86,9330503.0,1.75716,64398047.0,145.474,1.326,432007.341702,366919.9635
3415,000903,云内动力,1.389,2.92,2.92,2.95,2.88,2.88,19867568.0,1.12422,57847836.0,24.746,1.039,575473.850244,516031.868976
3416,000902,新洋丰,8.067,8.44,7.91,8.47,7.91,7.81,60838658.0,5.1844,501525199.0,13.397,1.679,1101022.72076,990429.783376
3417,000901,航天科技,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,50.137,1.962,787392.500476,726902.12788
3418,000900,现代投资,0.704,4.29,4.32,4.35,4.26,4.26,26942542.0,1.7759200000000002,115994979.0,6.8100000000000005,0.657,651148.355286,650835.73269
3419,000899,赣能股份,1.302,4.67,4.63,4.68,4.62,4.61,3881769.0,0.39786000000000005,18083778.0,24.579,0.9450000000000001,455641.51392,455639.760802
3420,000898,鞍钢股份,1.333,3.04,3.02,3.08,3.0,3.0,27684337.0,0.34633,84156475.0,2.766,0.549,2859196.061104,2430082.669872
3421,000897,*ST津滨,1.509,2.69,2.67,2.71,2.59,2.65,51271206.0,3.17028,135712502.0,-33.583,4.279,435046.230946,435038.806546
3422,000895,双汇发展,3.74,37.45,36.17,38.36,35.52,36.1,30576731.0,3.46457,1137163926.0,25.144,8.184,12430711.80155,3305167.82337
3423,000893,东凌国际,3.276,5.99,5.8,6.05,5.79,5.8,4358916.0,1.08771,25884894.0,1426.19,1.2429999999999999,453385.059928,240044.42805
3424,000892,欢瑞世纪,0.383,5.24,5.25,5.29,5.15,5.22,13079546.0,2.43035,68345521.0,15.879,1.4889999999999999,514033.767852,282004.337184
3425,000890,法 尔 胜,4.237,4.92,4.8,4.99,4.76,4.72,21372463.0,5.62989,104643794.0,-12.947,3.517,186783.6672,186775.304184
3426,000889,中嘉博创,1.693,9.61,9.8,9.82,9.53,9.45,7742579.0,1.2455,74608381.0,24.079,1.75,643006.909563,597399.607232
3427,000888,峨眉山Ａ,2.291,6.25,6.16,6.32,6.11,6.11,9987549.0,1.89548,61885988.0,15.739,1.32,329320.68875,329320.68875
3428,000887,中鼎股份,0.931,9.76,9.8,9.86,9.64,9.67,15628387.0,1.28301,152170418.0,10.609,1.388,1191521.244272,1188866.599424
3429,000886,海南高速,2.433,4.21,4.14,4.22,4.12,4.11,17045298.0,1.7537,71159720.0,25.06,1.498,416296.7143,409195.243358
3430,000885,城发环境,-0.087,11.54,11.58,11.8,11.51,11.55,9523560.0,1.9186,110670282.0,9.834,1.956,572824.808382,572824.808382
