code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002053,云南能投,-4.932,6.94,7.03,7.22,6.9,7.3,3815925.0,1.02661,27036766.0,33.738,1.353,528119.124804,257961.330964,2020-02-28
002052,同洲电子,-9.884,3.1,3.2,3.3,3.1,3.44,45957734.0,6.16094,146487576.0,-7.045,4.062,231247.50514,231245.49665,2020-02-28
002051,中工国际,0.111,9.03,8.72,9.37,8.71,9.02,32781936.0,2.95029,299400006.0,8.361,1.079,1117380.270111,1003360.812426,2020-02-28
002050,三花智控,-3.448,19.88,19.44,20.45,19.22,20.59,55352271.0,2.28853,1106820833.0,32.59,6.126,5498127.901224,4808338.052644,2020-02-28
002049,紫光国微,-6.502,57.95,58.7,60.79,57.44,61.98,34473853.0,5.68657,2032989175.0,101.064,8.474,3516510.12456,3513116.729025,2020-02-28
002048,宁波华翔,-2.891,23.18,22.89,24.5,22.78,23.87,49580799.0,9.09795,1170784236.0,19.812,1.637,1451594.913852,1263232.907956,2020-02-28
002047,宝鹰股份,-5.422,4.71,4.8,4.91,4.69,4.98,17927669.0,1.41938,85978160.0,22.429,1.512,631750.849791,594902.72481,2020-02-28
002046,轴研科技,-8.623,6.04,6.4,6.4,6.0,6.61,7030435.0,1.7202000000000002,43814325.0,136.961,1.177,316706.843112,246854.3923,2020-02-28
002045,国光电器,-9.42,11.25,11.55,12.08,11.18,12.42,21081540.0,4.51369,243815146.0,-22.959,2.725,526931.902125,525439.899,2020-02-28
002044,美年健康,-1.863,13.17,13.16,13.66,13.11,13.42,28697646.0,0.84621,383406270.0,50.654,7.606,5162535.922758,4466351.38485,2020-02-28
002043,兔 宝 宝,-4.161,6.91,7.05,7.19,6.85,7.21,14660951.0,1.97089,102684254.0,16.854,3.197,535356.397382,514018.546103,2020-02-28
002042,华孚时尚,-1.509,7.18,7.17,7.28,7.08,7.29,4398071.0,0.2897,31537225.0,14.36,1.722,1090911.64849,1090028.374224,2020-02-28
002041,登海种业,-7.97,9.93,10.48,10.65,9.89,10.79,29064665.0,3.33381,298379884.0,268.378,3.116,873840.0,865712.881863,2020-02-28
002040,南 京 港,-4.633,5.97,6.02,6.18,5.95,6.26,6084297.0,1.25717,36718869.0,13.55,1.089,288928.1796,288928.1796,2020-02-28
002039,黔源电力,-1.898,13.44,13.6,13.6,13.41,13.7,2924750.0,0.9577,39492202.0,11.16,1.45,410455.801728,410446.731072,2020-02-28
002038,双鹭药业,-4.723,12.91,13.2,13.54,12.91,13.55,16459991.0,1.93249,216425280.0,15.472,2.771,1326308.85,1099610.777253,2020-02-28
002037,保利联合,-5.14,6.09,6.23,6.3,6.08,6.42,5011618.0,1.53088,31033065.0,16.917,0.893,296963.813181,199367.20944,2020-02-28
002036,联创电子,-9.471,17.11,17.83,18.49,17.01,18.9,52334727.0,7.36498,930497250.0,38.886,5.436,1223863.655551,1215817.867972,2020-02-28
002035,华帝股份,-4.655,11.88,12.11,12.45,11.88,12.46,32470185.0,4.14398,396107865.0,15.333,3.719,1032645.624912,930858.735312,2020-02-28
002034,旺能环境,-2.537,14.6,14.59,14.95,14.48,14.98,5721865.0,2.12882,84197692.0,19.73,1.525,614316.9657,392419.91398,2020-02-28
002033,丽江旅游,-4.378,5.46,5.52,5.63,5.44,5.71,7029361.0,1.27927,38801593.0,15.658,1.183,300021.928206,300016.178826,2020-02-28
002032,苏 泊 尔,0.672,73.45,70.3,73.45,70.15,72.96,3162255.0,0.5177700000000001,225585099.0,35.952,9.471,6031125.73895,4485901.774835,2020-02-28
002031,巨轮智能,-5.911,1.91,1.96,2.01,1.9,2.03,52631489.0,2.78025,102472127.0,77.016,1.337,420084.57297,361572.289858,2020-02-28
002030,达安基因,0.343,14.62,14.3,15.28,14.14,14.57,43004036.0,5.65759,640814744.0,112.462,4.963,1165817.102778,1111284.46769,2020-02-28
002029,七 匹 狼,-2.941,5.28,5.36,5.4,5.27,5.44,7744145.0,1.0405,41298614.0,11.478,0.681,398993.76,392975.704704,2020-02-28
002028,思源电气,-10.0,17.37,17.6,18.1,17.37,19.3,39374194.0,6.70503,694373495.0,44.538,2.689,1320483.522834,1020025.390257,2020-02-28
002027,分众传媒,-4.129,5.34,5.35,5.53,5.3,5.57,225066682.0,1.5333700000000001,1211421429.0,13.35,5.818,7837988.06952,7837988.06952,2020-02-28
002026,山东威达,-4.878,5.07,5.18,5.28,5.05,5.33,9830700.0,2.42828,50656165.0,13.703,0.835,212989.898433,205254.550254,2020-02-28
002025,航天电器,-8.065,24.51,25.85,25.98,24.39,26.66,11950318.0,2.78628,299443413.0,29.179,3.588,1051479.0,1051230.890172,2020-02-28
002024,苏宁易购,-2.929,9.28,9.4,9.47,9.27,9.56,73634857.0,0.9470500000000001,688938103.0,6.444,0.9500000000000001,8639716.79984,7215375.645344,2020-02-28
002023,海特高新,-9.995,16.66,16.73,17.47,16.66,18.51,95781991.0,14.52826,1615478666.0,208.25,3.551,1260813.810998,1098361.341322,2020-02-28
002022,科华生物,6.864,15.88,14.93,16.06,14.7,14.86,65543470.0,12.77651,1026912870.0,39.171,3.5,817068.229684,814643.988884,2020-02-28
002021,*ST中捷,-4.04,1.9,1.92,1.93,1.89,1.98,5826201.0,0.8476,11132144.0,-5.588,2.005,130684.8576,130600.7826,2020-02-28
002020,京新药业,-3.911,10.32,10.58,10.71,10.31,10.74,18890430.0,3.21322,197833029.0,20.156,2.01,748067.904,606709.500696,2020-02-28
002019,亿帆医药,-5.476,19.16,19.6,20.13,18.58,20.27,48341008.0,5.96746,933379531.0,31.41,3.238,2369909.169532,1552108.196852,2020-02-28
002017,东信和平,-9.566,13.14,13.47,14.05,13.08,14.53,22907241.0,5.14833,310143421.0,119.455,4.234,586682.714376,584657.540784,2020-02-28
002016,世荣兆业,-3.862,7.22,7.37,7.48,7.2,7.51,6710952.0,0.9770700000000001,49121729.0,7.337,1.923,584167.046304,495902.546304,2020-02-28
002015,协鑫能科,-4.662,6.34,6.48,6.6,6.29,6.65,15240511.0,3.80344,97925026.0,487.692,1.822,857460.471808,254046.22505,2020-02-28
002014,永新股份,-2.268,9.05,9.1,9.23,8.83,9.26,4685933.0,0.93554,42431074.0,16.759,2.453,455773.13522,453294.85245,2020-02-28
002013,中航机电,-2.516,7.75,7.69,7.98,7.64,7.95,52734580.0,1.46143,413137656.0,33.696,3.013,2796714.954175,2796520.300525,2020-02-28
002012,凯恩股份,-3.72,6.73,6.7,7.34,6.58,6.99,76626257.0,16.45263,535953624.0,134.6,2.475,314711.94131,313442.038093,2020-02-28
002011,盾安环境,-6.944,4.69,4.93,5.02,4.65,5.04,20913901.0,2.28917,101392296.0,-1.987,1.569,430172.51242,428478.916838,2020-02-28
002010,传化智联,-6.886,6.22,6.5,6.6,6.2,6.68,30058902.0,0.9444600000000001,192495800.0,24.88,1.5470000000000002,2026360.729716,1979609.461274,2020-02-28
002009,天奇股份,-6.763,8.41,8.65,9.0,8.39,9.02,13818930.0,4.43371,120080541.0,22.73,1.538,311632.073994,262122.057502,2020-02-28
002008,大族激光,-5.578,38.09,38.96,39.12,37.8,40.34,25909670.0,2.60819,998957808.0,23.658,4.973,4064466.830385,3783842.149204,2020-02-28
002007,华兰生物,-0.599,41.5,40.8,42.55,40.77,41.75,21058433.0,1.74706,882562336.0,33.872,9.357,5822694.933,5002261.19345,2020-02-28
002006,精功科技,-4.486,5.11,5.2,5.47,5.11,5.35,26409583.0,5.80226,140253265.0,511.0,2.421,232586.76,232586.76,2020-02-28
002005,*ST德豪,-4.444,1.72,1.75,1.82,1.71,1.8,28074402.0,1.65934,49603600.0,-5.222,1.44,303531.84,291006.39666,2020-02-28
002004,华邦健康,-3.914,4.91,5.02,5.07,4.9,5.11,21234298.0,1.17394,105704171.0,19.64,1.065,972140.322781,888123.46613,2020-02-28
002003,伟星股份,-4.232,6.11,6.28,6.33,6.1,6.38,7447855.0,1.15189,46232483.0,14.902,1.924,463150.481508,395057.372658,2020-02-28
002002,鸿达兴业,-9.298,4.39,4.61,4.74,4.37,4.84,103142372.0,4.04503,468282879.0,18.586,1.734,1136445.353371,1119387.399039,2020-02-28
002001,新 和 成,-7.093,24.1,25.2,25.7,24.1,25.94,36167703.0,1.70483,896604495.0,16.853,3.159,5178276.143,5112770.08483,2020-02-28
001979,招商蛇口,-0.744,17.34,17.3,17.91,17.08,17.47,17742405.0,0.22414,309159042.0,9.175,2.104,13726704.805518,13725971.295774,2020-02-28
001965,招商公路,-3.141,7.4,7.54,7.57,7.4,7.64,6122706.0,1.10351,45757592.0,11.692,0.964,4571880.83012,410580.6417,2020-02-28
