date,agriculture,automobile,bank,building,chemical,cloths,communication,computer,decorating,electEquipment,electrical,electronic,excavation,finance,food,house,integrated,lightIndustry,mechanics,media,medical,metals,public,service,steel,trade,transport,war
2013-01-04,0.07595307029852379,0.0765216990999071,0.11450713684864006,0.2847663306934696,0.009527754763877369,0.05087015444043793,0.044122729421846814,0.0005146415521589205,0.05005252140213393,0,0.0234325567939614,0.0,0.2400853274312753,0.052812095176242524,0.1381078141467128,0.1821677026257474,0.04720688042029952,0,0.019308220800758127,0.009839666906233394,0.005024364817714159,0.06031479525856721,0.01948637080423519,0.03296635717836468,0.07480431164685339,0.05258616555855299,0.029139286819963243,0.004133342813358092
2013-01-07,0.07731482015305305,0.0779848789826948,0.1272650112837727,0.3085685505187826,0.01791702294710637,0.052062008803756485,0.05330050445301238,0.0018722789318602366,0.05126224083762729,0,0.03381335209560169,0.001956274618658626,0.24091243661344655,0.05310945466050391,0.1416618684990207,0.17499686220322858,0.05071723252748416,0,0.016749585406301823,0.01066137371254998,0.005316782345613096,0.05667945391631744,0.020719711283418967,0.0352810660274202,0.0748943739390704,0.056027697964501195,0.029422545132032643,0.015015129052507362
2013-01-08,0.07784081554074701,0.08386506810207935,0.11797689988379267,0.3077246590200608,0.021710546259154896,0.05484981645534878,0.06357327446658034,0.0034912411889994536,0.05065133030277481,0,0.03513434886948886,0.0024321252015755846,0.2398520278263657,0.05589378544990651,0.1524872183031031,0.17525795179192435,0.050195086573982375,0,0.02011371712864249,0.011957308432794859,0.01888568554346995,0.0684236294313159,0.02281660962097924,0.03594276211984413,0.07596205912003895,0.05477392238806011,0.02909278168114541,0.027204161970988346
2013-01-09,0.08827013161050642,0.08259221137432887,0.11456813234617425,0.2944974487888554,0.02101560754146903,0.059149220397051325,0.06840249963794891,0.005041117684164099,0.04959175070502864,0,0.030727981375359852,0.0036746239458587847,0.2411500358654306,0.05426268868808901,0.1576899994814084,0.16999784890211384,0.05152191903290064,0,0.011750769959725176,0.011730263937046216,0.016339494647840604,0.06356277671534097,0.022174542847245945,0.03912474542141162,0.0753497661262447,0.05284929914257342,0.02815070056915666,0.027969568659206433
2013-01-10,0.09115163111957711,0.08288055664077529,0.11255772183998204,0.2949949949671082,0.022715045453365956,0.0552887513940524,0.06729634667426364,0.006852257286848572,0.051695093478152286,0,0.03235963884265982,0.002881539640997171,0.23900962896801425,0.05694998004773746,0.15684822666004036,0.1762365627017865,0.05099736288482344,0,0.010139777303956408,0.01173184094341257,0.017519084646819484,0.06967866214512644,0.021949266884191194,0.041707766087308855,0.07810879625313699,0.05637491923882227,0.02944579770144156,0.026509739238225666
2013-01-11,0.0869670817502268,0.0779996553090985,0.10143545024739296,0.25780038287916807,0.023168676470468316,0.046474342500834195,0.06375822968584409,0.005316099208340471,0.04363951694688192,0,0.022245405567132805,0.0022206360536124892,0.22877338293963914,0.045513604936854864,0.15249903429755526,0.1615736746119157,0.0451020036874837,0,0.011348021795782993,0.010884265664071338,0.018059257847158696,0.05704669541108046,0.01700265789301573,0.03685642232049546,0.07191854797417663,0.049173974708756514,0.02297031204001697,0.03822682708088426
2013-01-14,0.09939588381091247,0.09502263290677102,0.1291460266706505,0.2791068286909222,0.034127719001131526,0.05182386752944365,0.07095468633668028,0.009005666456830815,0.05384065233954962,0,0.03410225608756396,0.007137758743754474,0.23974209200243388,0.06159105282359417,0.1605879724417623,0.18665337454477854,0.053111235707917946,0,0.017412935323383096,0.014255201974017181,0.024715341273107438,0.07453621117537211,0.020413666015062008,0.04963416245647173,0.07812401857164607,0.06112240550838798,0.03023990843865211,0.057533853170320635
2013-01-15,0.11282282250783127,0.09492419777001004,0.12835078076196063,0.29969159784710575,0.05007283253945569,0.05535620319384128,0.07523807302089768,0.013245260600237369,0.05651946958687353,0,0.03215572570223601,0.01869035345123853,0.24710782682551544,0.06978150020801967,0.16014832295027545,0.1849629415836554,0.06001270608702866,0,0.019710968964700308,0.015210550579131977,0.0286269612842807,0.08757686610875245,0.022510564352622296,0.052775153770912374,0.08156697645359602,0.0691252843014058,0.035400064436074866,0.05317804339954976
2013-01-16,0.11480560644743551,0.10018847175087553,0.11822403199647046,0.2860915093993536,0.05115531691927543,0.05161126761482628,0.07086695287197987,0.014605339561285189,0.05458860984988928,0,0.034591620929765914,0.0264097073518915,0.2457421366320615,0.06845786824090373,0.1614971319390677,0.17208241906558133,0.058476640854547915,0,0.026605069888651987,0.0134386569121135,0.0271570647523735,0.09039059040321532,0.024896476005687625,0.05517054777003202,0.07975897220915439,0.06942686346335365,0.03294586221065126,0.061127398649086284
2013-01-17,0.10674093515899698,0.09636318546970929,0.1171621801467096,0.27460182418301116,0.04527905643957017,0.04851079246278728,0.06335522725907652,0.012872178584311148,0.048831292236927504,0,0.03582331683533393,0.0264097073518915,0.23665736950207625,0.07954001833538774,0.16389685744068327,0.17121755871973995,0.05578209509298574,0,0.016749585406301823,0.012760358245702454,0.03225881184759076,0.08393504014165644,0.026993374343247896,0.052026571462744885,0.0790063442007092,0.06461843718055732,0.02962759077755056,0.041387247476582054
2013-01-18,0.1161632029190168,0.09749160647479557,0.12502227874373248,0.2853190168927977,0.04428857353410033,0.05046132369160119,0.0657803451900224,0.014297889923865917,0.05231413599649757,0,0.0343582734474721,0.023131625558463532,0.24773630834048951,0.08466984411201044,0.15857794289859045,0.19141542473312137,0.06161098120147958,0,0.01850272447287372,0.014740882747824768,0.03423215384530614,0.08927241061264912,0.028196738585412294,0.056429990420146126,0.08220238957861004,0.07065678448698763,0.0327985959377281,0.043137508056104015
