,code,profit,normal,block
19,000923,1.1048229393789726,0.8835978835978836,excavation
27,002115,1.0992629611335485,1.1843687374749499,communication
38,002352,1.0941824623600573,1.305751492132393,transport
106,600901,1.0912129944619566,0.9168026101141925,finance
140,603878,1.091195508455487,0.9503311258278146,steel
103,600782,1.080219462053738,0.9241516966067864,steel
88,600138,1.077788020203184,0.8399053627760252,service
121,601985,1.0687130747495504,0.96,public
29,002146,1.0643602843324491,0.9694736842105264,house
15,000858,1.0606014632383,0.8905872316223518,food
85,600019,1.0604460573760714,0.9609929078014184,steel
63,300043,1.058771824683367,0.8661016949152542,media
54,002832,1.0579765352832642,0.8215077605321508,cloths
13,000732,1.0577335811563398,1.0067114093959733,house
118,601898,1.0561527491006621,0.9219712525667352,excavation
93,600398,1.0547064640834305,0.8928571428571429,cloths
2,000027,1.0541124439967575,0.9277504105090313,public
0,000006,1.051226766485917,0.9461966604823747,house
43,002563,1.0487838551956925,0.8109201213346814,cloths
39,002415,1.0449787685667704,0.9654891304347827,electronic
22,001965,1.0448930858569412,0.8990610328638499,transport
4,000333,1.0413671341150812,0.9093194770365405,electrical
84,600000,1.0360417936875388,0.9040983606557377,bank
18,000921,1.0342953015082148,0.8198269079464987,electrical
73,300577,1.0310921457349567,0.9123505976095618,cloths
119,601933,1.031085602034633,1.245,trade
62,300034,1.0284697508896798,1.0284697508896798,war
102,600779,1.0267992030221755,0.8948074343744014,food
113,601229,1.025251295835893,0.9617903930131004,bank
128,603218,1.0252238944782726,0.879255560599183,electEquipment
122,601988,1.0245674977982928,0.9945205479452055,bank
116,601808,1.0243068365979071,0.8707037643207858,excavation
89,600167,1.020529868547937,0.91012947448591,metals
139,603711,1.020027750340651,0.9107079331198862,food
61,300012,1.0175820982272596,1.0024479804161566,integrated
7,000402,1.017092762575611,0.942159383033419,house
24,002024,1.0133193233270263,0.9224219489120151,trade
110,601166,1.0129645946246504,0.9190451478982875,bank
107,600919,1.0107415625096532,0.9183098591549296,bank
3,000069,1.0078929494321947,0.9234828496042217,house
34,002262,0.9984162973259352,0.9631490787269682,medical
117,601888,0.9911833890395411,0.8746542759154774,service
86,600025,0.9905217833904227,0.9368932038834951,public
33,002242,0.9875756713068421,1.1056393963463067,electrical
77,300719,0.9779231398201146,0.9779231398201145,war
109,601021,0.9717947773725423,0.850462962962963,transport
126,603160,0.9591065403470601,1.1359906213364597,electronic
42,002555,0.951259698710016,1.165400552486188,media
132,603365,0.9346615131631492,0.9502905100064558,cloths
87,600038,0.9301121656600517,0.9301121656600517,war
