,code,profit,normal,block
129,603290,5.055756286394399,7.404359673024523,electronic
60,002975,2.21279669643848,2.374146928944199,mechanics
127,603195,2.16575339779488,2.0306039014133863,lightIndustry
37,002328,1.6563066394296844,1.7867298578199053,automobile
41,002458,1.536022600414793,1.126220127903063,agriculture
31,002194,1.517765700832634,1.3853658536585365,communication
6,000401,1.4172673917662058,1.3076923076923077,building
66,300253,1.4139934203957578,1.7102628285356694,medical
97,600598,1.3914000471117594,1.3025540275049117,agriculture
51,002798,1.3783638680872523,1.1559029206088032,lightIndustry
67,300326,1.3737573099633278,1.32404603270745,medical
79,300735,1.3718108644606526,1.1512635379061373,electronic
64,300059,1.3424088434381862,1.2305732484076435,media
131,603313,1.3417910100328219,1.1007045171985081,lightIndustry
59,002972,1.3404877675633253,1.0682445759368835,mechanics
32,002234,1.3298323530887401,1.0048309178743962,agriculture
1,000009,1.31486579697106,1.2087227414330217,integrated
101,600728,1.3144404508838667,1.1019999999999999,computer
96,600522,1.3055075217735552,1.058343057176196,communication
68,300384,1.3045450467695936,1.041774110366168,decorating
124,603068,1.3033350600952034,1.0251953125,electronic
16,000877,1.2971412671140359,1.1326889279437609,building
74,300603,1.2930155289727014,1.684040258806614,communication
95,600459,1.2856054836252855,1.000633312222926,metals
11,000672,1.2836872372739632,1.1875,building
133,603393,1.2764457466154777,1.3358024691358024,public
81,300773,1.275973340371748,1.0825733916302311,computer
46,002643,1.2730280784481833,1.0993337371290126,chemical
65,300166,1.2729950040959492,1.1716276124129197,computer
8,000547,1.2720465890183028,1.2720465890183028,war
120,601965,1.2655584790625662,1.0653206650831355,automobile
71,300443,1.2607155903722045,1.028649386084584,electEquipment
94,600449,1.2592041549752437,1.061131386861314,building
49,002746,1.255028818483617,0.9269041769041768,agriculture
100,600720,1.2458264304829871,1.1402095084609187,building
20,000975,1.2436368641693876,1.1176911544227885,metals
52,002803,1.238673407990804,1.1461625282167043,lightIndustry
30,002182,1.2359593910867621,1.0782688766114181,metals
82,300777,1.235053577883236,1.1254165404422902,chemical
138,603666,1.2321525720374105,1.084153005464481,mechanics
76,300662,1.2224830526948571,1.0891573195283288,service
123,603026,1.2152487308504907,1.0158219361759186,chemical
125,603136,1.2148622942684641,0.8437037037037037,service
105,600846,1.2111000854488823,0.9847560975609756,decorating
55,002851,1.2084485815602835,1.0631437527989251,electEquipment
25,002059,1.2084212128459921,0.9021113243761997,service
50,002759,1.205969188728273,0.8093422306959008,electrical
72,300487,1.2045922801731714,0.978835978835979,chemical
21,000997,1.196909566832728,1.021276595744681,computer
83,300797,1.189970707307974,0.8767313019390581,integrated
115,601360,1.189576955639078,0.9368200836820084,computer
111,601186,1.1891552511415524,1.1038306451612903,decorating
35,002299,1.1871468003059735,0.9123427672955975,agriculture
36,002318,1.187039816083518,0.9423274974253346,steel
47,002698,1.183579043419899,0.9698630136986301,mechanics
48,002738,1.1796005997283947,0.9208826695371367,excavation
134,603466,1.1783333314699764,0.9257641921397379,decorating
40,002440,1.1745620798256573,1.0377524143985952,chemical
9,000563,1.1740467925380293,0.9489559164733179,finance
112,601212,1.1723734334455915,0.8985915492957747,metals
44,002607,1.1703621693121693,1.200537634408602,media
114,601311,1.169508159636376,0.9554079696394688,automobile
75,300628,1.1684080347757375,1.312938331318017,communication
53,002818,1.1647825460673558,0.9425019425019426,trade
14,000810,1.1588964986851058,0.9487004103967168,electrical
130,603300,1.155589481988334,0.96569250317662,finance
78,300725,1.1545984713093718,1.342820549309805,medical
98,600603,1.1539710542515875,1.0678642714570858,integrated
90,600170,1.153593057078823,1.0225988700564972,decorating
69,300401,1.1523504996892557,0.966923076923077,medical
108,600933,1.151174567593877,1.0769230769230769,automobile
70,300417,1.1480915305851767,0.8959660297239915,mechanics
56,002867,1.14183455261677,0.9370370370370369,lightIndustry
57,002901,1.1388351490636317,1.0841546626231993,medical
28,002127,1.134461492635202,0.9577464788732396,trade
17,000895,1.1333170315269636,1.1736020806241871,food
5,000338,1.132847063655316,1.065080475857243,automobile
23,002013,1.1320224719101124,1.1320224719101124,war
58,002928,1.131462159482555,0.955607476635514,transport
80,300755,1.125393482212236,0.8553921568627452,trade
92,600390,1.1250261415127223,1.0199004975124377,finance
104,600811,1.1246953567622884,0.9853372434017594,integrated
12,000720,1.122938271604938,0.8991452991452992,public
26,002110,1.1217159415490825,1.0180383314543404,steel
136,603505,1.1114003306008162,1.0493327941771127,excavation
45,002621,1.1113982575231172,0.9311774461028193,media
135,603489,1.1103714762448407,0.935257262198595,electEquipment
137,603606,1.1084485407066054,1.0225752508361203,electEquipment
91,600368,1.106163163519772,0.9385964912280703,transport
99,600643,1.1050327915597373,0.9470899470899471,finance
10,000568,1.1049870529699346,0.8513761467889908,food
