,code,profit,normal,block
129,603290,4.319914679956995,6.119346049046321,electronic
60,002975,2.083368271688685,2.374347651545564,mechanics
127,603195,1.8754821602492693,2.1154070786123116,lightIndustry
37,002328,1.707589640756024,1.6937799043062203,automobile
74,300603,1.5086653897505247,1.7097560975609756,communication
31,002194,1.4065380250850783,1.2734833659491194,communication
66,300253,1.3956086292402436,1.7947402180885184,medical
79,300735,1.3683730969658636,1.2091268415379088,electronic
65,300166,1.3587582395784121,1.2807613868116927,computer
6,000401,1.3532856498243733,1.2289940828402368,building
64,300059,1.3481797221639238,1.1455576559546314,media
41,002458,1.3404951768123563,1.0977734753146178,agriculture
131,603313,1.3219720823881893,1.1211498973305953,lightIndustry
138,603666,1.3074445385536808,1.1420664206642068,mechanics
97,600598,1.3057664524102104,1.2203389830508475,agriculture
124,603068,1.2991189802935188,1.0161228036300445,electronic
62,300034,1.294987589616839,1.024683925346177,war
67,300326,1.294396038177873,1.3923739237392372,medical
8,000547,1.2869610476113111,1.3077601410934745,war
30,002182,1.284065496599881,1.0628465804066543,metals
1,000009,1.2833527961668945,1.1422222222222222,integrated
46,002643,1.2794275721974961,1.1401352181929933,chemical
133,603393,1.2749297801015254,1.2243567753001716,public
101,600728,1.271982001136128,1.0210843373493974,computer
120,601965,1.2662795274522736,1.049338146811071,automobile
82,300777,1.2599079060547163,1.071885470606153,chemical
68,300384,1.2485979277669175,1.0566844919786098,decorating
11,000672,1.246869811583538,1.1030713170223843,building
16,000877,1.246124298465978,1.063193851409052,building
96,600522,1.2448772208860952,1.0273348519362187,communication
51,002798,1.233631287074709,1.100204498977505,lightIndustry
27,002115,1.2320529326180432,1.1617195496417605,communication
55,002851,1.232045054378067,1.12292817679558,electEquipment
100,600720,1.2279191629409554,1.0930232558139534,building
94,600449,1.2272548712493363,1.0240641711229945,building
95,600459,1.2271404980964433,0.9898477157360406,metals
130,603300,1.226556003829165,0.9794079794079795,finance
20,000975,1.202701622372104,1.0131195335276968,metals
78,300725,1.199071011980974,1.2032121954539268,medical
98,600603,1.1979866371869363,1.043222003929273,integrated
52,002803,1.1931414158114058,1.2138188608776843,lightIndustry
14,000810,1.181474597656054,0.9323509711989283,electrical
81,300773,1.1797029738848464,1.0552184466019416,computer
21,000997,1.1751305862715413,0.9797822706065319,computer
76,300662,1.174936498467629,1.0786261708770934,service
72,300487,1.1729158973617757,1.0396763247193943,chemical
126,603160,1.1677989723389943,1.1541353383458646,electronic
123,603026,1.1659227771251972,0.9976402726796014,chemical
57,002901,1.1640898861394395,1.0512104283054002,medical
23,002013,1.1638009766762636,1.1170798898071626,war
32,002234,1.162386245750753,0.9465506525792418,agriculture
108,600933,1.1621363051396605,1.0211267605633803,automobile
71,300443,1.1605411575781608,1.0113941018766757,electEquipment
69,300401,1.1540797605162758,0.9406322282189667,medical
40,002440,1.153107599793239,0.9783174327840416,chemical
115,601360,1.1508570531972502,0.958368026644463,computer
44,002607,1.1499862888999703,1.181965442764579,media
105,600846,1.1398222641565021,0.981404958677686,decorating
137,603606,1.1365867773410647,0.9871023215821152,electEquipment
53,002818,1.1342187867416176,0.9020657995409334,trade
75,300628,1.1341776528052603,1.3987562189054725,communication
49,002746,1.1298710561306886,0.930317848410758,agriculture
114,601311,1.1217018044119869,0.8899167437557816,automobile
125,603136,1.1212327114746694,0.853932584269663,service
47,002698,1.1178988768589226,0.9738030713640469,mechanics
70,300417,1.1075662853072759,0.8699729110231298,mechanics
56,002867,1.105561085437866,0.956372549019608,lightIndustry
36,002318,1.104182886702633,0.9412955465587044,steel
136,603505,1.1021645021645021,1.1021645021645021,excavation
9,000563,1.102106020101754,0.9090909090909091,finance
39,002415,1.0940934766573265,1.006787330316742,electronic
29,002146,1.0936609283007184,0.9138461538461539,house
77,300719,1.093150808103826,0.9117882919005612,war
12,000720,1.0920399853838294,0.8690476190476191,public
112,601212,1.0890708254868686,0.8657534246575344,metals
140,603878,1.0831578877176629,0.9294117647058824,steel
13,000732,1.079809289492803,0.8954248366013072,house
25,002059,1.0787134910691718,0.8605504587155963,service
134,603466,1.0767422387145273,0.8647342995169083,decorating
135,603489,1.075588680834564,0.9115276476101218,electEquipment
5,000338,1.074412421475493,1.0529938059187889,automobile
104,600811,1.072697797115847,0.9421965317919074,integrated
50,002759,1.0683045484940075,0.7672955974842766,electrical
83,300797,1.0646017895711475,0.8002645502645502,integrated
58,002928,1.0641361773099776,0.9684791174152876,transport
0,000006,1.0633012520212295,0.8763636363636365,house
38,002352,1.0629727967408398,1.3369855692143238,transport
17,000895,1.0623208357106735,1.0907051282051283,food
90,600170,1.061609726131483,1.0027855153203342,decorating
91,600368,1.059060856364885,0.9090909090909091,transport
80,300755,1.0545230009577118,0.8504032258064516,trade
59,002972,1.0510080882933062,0.9427083333333334,mechanics
10,000568,1.0500692315787947,0.8452264581296839,food
54,002832,1.0483661363274095,0.8763079222720478,cloths
99,600643,1.0462140278757033,0.8992731048805814,finance
35,002299,1.0439269990045752,0.89921875,agriculture
111,601186,1.0421240223248471,1.0265225933202358,decorating
26,002110,1.0421022057290807,0.9239956568946796,steel
73,300577,1.0302240275443706,0.8815686274509804,cloths
4,000333,1.02930729030001,0.9074816299265197,electrical
92,600390,1.0284974868431551,0.9613059250302298,finance
61,300012,1.0279090201668275,1.04594767070836,integrated
106,600901,1.0277011941921548,0.8878205128205128,finance
7,000402,1.027449456028147,0.9005037783375315,house
87,600038,1.020508093849649,0.8936627282491945,war
139,603711,1.0195590749834773,0.8760894278135658,food
102,600779,1.0186028591123637,0.8803864734299517,food
28,002127,1.0179558876818962,0.8845166809238666,trade
85,600019,1.017405223815366,0.9475524475524476,steel
15,000858,1.0173167405234997,0.8851760969976905,food
103,600782,1.013451471115402,0.8735408560311285,steel
18,000921,1.013069705563455,0.8009404388714734,electrical
3,000069,1.0106172206170987,0.8682864450127877,house
122,601988,1.0084061051592415,0.9756097560975611,bank
63,300043,1.008110065796598,0.8532423208191126,media
22,001965,1.0052567825654175,0.8672768878718535,transport
2,000027,1.0044138814700867,0.9001610305958132,public
88,600138,1.004108030261422,0.8094135802469136,service
113,601229,1.0036832363272306,0.9510337323177367,bank
89,600167,1.0020833238401685,0.8932714617169374,metals
43,002563,1.0017669644438794,0.798411122144985,cloths
45,002621,0.9999692238424475,0.8771790808240888,media
34,002262,0.9993765974607585,0.9588926174496644,medical
128,603218,0.9987287949733552,0.8758992805755397,electEquipment
84,600000,0.9987084487108056,0.8881737731295253,bank
121,601985,0.9984657633768785,0.9408284023668637,public
119,601933,0.997398970885599,1.0876543209876544,trade
93,600398,0.9939088740301978,0.8716981132075471,cloths
117,601888,0.9932143148170699,0.8823728050427735,service
110,601166,0.9886397767312706,0.8906329113924051,bank
33,002242,0.9879720460357543,1.1016882606988614,electrical
24,002024,0.9869097166810697,0.8933962264150944,trade
107,600919,0.9846864099683283,0.9040333796940194,bank
86,600025,0.953545919253684,0.8995215311004785,public
109,601021,0.9452933372781329,0.8210072595281307,transport
132,603365,0.9276174105234983,0.9284802043422733,cloths
48,002738,0.9199999999999999,0.9199999999999999,excavation
42,002555,0.9130795075094481,1.1561251664447403,media
118,601898,0.8969696969696971,0.896969696969697,excavation
116,601808,0.8362855609232421,0.8362855609232421,excavation
19,000923,0.817829457364341,0.8178294573643411,excavation
