,date,predict,code
2094,2020-02-10,1.0,000338
2234,2020-02-11,1.0,000338
2374,2020-02-12,1.0,000338
2514,2020-02-13,1.0,000338
2654,2020-02-14,1.0,000338
2794,2020-02-17,1.0,000338
2934,2020-02-18,1.0,000338
3074,2020-02-19,1.0,000338
3214,2020-02-20,1.0,000338
3354,2020-02-21,1.0,000338
3494,2020-02-24,1.0,000338
3634,2020-02-25,1.0,000338
3774,2020-02-26,1.0,000338
3914,2020-02-27,0.0,000338
4054,2020-02-28,0.0,000338
4194,2020-02-29,0.0,000338
88,2020-01-13,1.0,000401
228,2020-01-14,0.9765186309814453,000401
368,2020-01-15,0.0,000401
508,2020-01-16,0.0,000401
648,2020-01-17,0.0,000401
788,2020-01-20,0.0,000401
928,2020-01-21,0.0,000401
1068,2020-01-22,0.0,000401
1208,2020-01-23,0.0,000401
1348,2020-02-03,0.0,000401
1488,2020-02-04,0.0,000401
1628,2020-02-05,0.0,000401
1768,2020-02-06,0.0,000401
1908,2020-02-07,0.0,000401
2048,2020-02-10,0.5603952407836914,000401
2188,2020-02-11,1.0,000401
2328,2020-02-12,1.0,000401
2468,2020-02-13,1.0,000401
2608,2020-02-14,1.0,000401
2748,2020-02-17,1.0,000401
2888,2020-02-18,1.0,000401
3028,2020-02-19,1.0,000401
3168,2020-02-20,1.0,000401
3308,2020-02-21,1.0,000401
3448,2020-02-24,1.0,000401
3588,2020-02-25,1.0,000401
3728,2020-02-26,1.0,000401
3868,2020-02-27,0.0,000401
4008,2020-02-28,0.0,000401
4148,2020-02-29,0.0,000401
65,2020-01-13,0.7919921875,000402
205,2020-01-14,0.0,000402
345,2020-01-15,0.0,000402
485,2020-01-16,0.0,000402
625,2020-01-17,0.0,000402
765,2020-01-20,0.0,000402
905,2020-01-21,0.0,000402
1045,2020-01-22,0.0,000402
1185,2020-01-23,0.0,000402
1325,2020-02-03,0.0,000402
1465,2020-02-04,0.0,000402
1605,2020-02-05,0.0,000402
1745,2020-02-06,0.0,000402
1885,2020-02-07,0.0,000402
2025,2020-02-10,0.16033363342285156,000402
2165,2020-02-11,1.0,000402
